Defaulted container "hyrax-worker" out of: hyrax-worker, db-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: true
Started: Thu May 28 16:24:35 UTC 2026
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1102_20260417125256/ (352.5 KB, 41d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1103_20260417152957/ (790.4 KB, 41d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1104_20260421130509/ (15.2 KB, 37d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1105_20260421130546/ (93.1 KB, 37d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1106_20260421132947/ (13.9 KB, 37d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1107_20260421192915/ (149.4 KB, 37d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1108_20260421195928/ (274.2 KB, 37d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1109_20260423010013/ (838.4 KB, 35d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/110_20230103204542/ (9.8 MB, 1241d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1110_20260425141806/ (119.6 KB, 33d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1111_20260426222917/ (46.9 KB, 32d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1112_20260426222953/ (22.4 KB, 32d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1113_20260427120944/ (44.9 KB, 31d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1114_20260428184109/ (30.9 KB, 30d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/1115_20260428191416/ (12.8 KB, 30d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/111_20230104123037/ (1.7 MB, 1240d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/111_20230104123037_120/ (1.8 MB, 1240d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/111_20230104123037_135/ (1.8 MB, 1240d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/111_20230104123037_136/ (1.8 MB, 1240d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/112_20230104201152/ (1.9 MB, 1240d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/112_20230104201152_121/ (1.8 MB, 1240d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/112_20230104201152_138/ (1.8 MB, 1240d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/113_20230105032552/ (1.9 MB, 1239d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/113_20230105032552_122/ (1.8 MB, 1239d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/113_20230105032552_140/ (1.8 MB, 1239d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/114_20230105122638/ (1.9 MB, 1239d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/114_20230105122638_123/ (1.8 MB, 1239d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/114_20230105122638_142/ (18.7 MB, 1239d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/115_20230105202935/ (1.7 MB, 1239d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/115_20230105202935_124/ (1.8 MB, 1239d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/115_20230105202935_144/ (1.8 MB, 1239d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/116_20230106024100/ (1.9 MB, 1238d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/116_20230106024100_125/ (1.8 MB, 1238d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/116_20230106024100_146/ (1.8 MB, 1238d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/117_20230106123454/ (1.9 MB, 1238d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/117_20230106123454_126/ (1.8 MB, 1238d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/117_20230106123454_148/ (1.8 MB, 1238d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/118_20230106190206/ (1.9 MB, 1238d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/118_20230106190206_127/ (1.7 MB, 1238d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/118_20230106190206_150/ (1.7 MB, 1238d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/118_20230106190206_151/ (205.1 MB, 1238d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/119_20230107025513/ (1.9 MB, 1237d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/119_20230107025513_128/ (1.8 MB, 1237d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/119_20230107025513_153/ (1.8 MB, 1237d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/11_20221209125404/ (498.4 KB, 1266d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/120_20230107161915/ (1.9 MB, 1237d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/120_20230107161915_129/ (1.8 MB, 1237d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/120_20230107161915_155/ (1.8 MB, 1237d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/121_20230108000556/ (1.9 MB, 1236d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/121_20230108000556_130/ (1.8 MB, 1236d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/121_20230108000556_157/ (89.9 MB, 1236d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/122_20230108150144/ (1.9 MB, 1236d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/122_20230108150144_131/ (1.8 MB, 1236d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/122_20230108150144_159/ (1.8 MB, 1236d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/123_20230109004256/ (1.9 MB, 1235d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/123_20230109004256_132/ (1.8 MB, 1235d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/123_20230109004256_161/ (1.8 MB, 1235d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/124_20230109120636/ (1.9 MB, 1235d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/124_20230109120636_133/ (1.8 MB, 1235d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/124_20230109120636_163/ (19.5 MB, 1235d old)
